

题目：以下关于班次时长与工作时长的说法正确的是    正确答案：班次时长是固定值，工作时长是护士实际工作时长
题目：同一患者一天内护理级别有变化统计时    正确答案：按最高级别计算1次
题目：强化理论认为为了收到更好的效果主要采取的强化手段应该是    正确答案：正强化
题目：护理质量管理委员会的职责不包括    正确答案：处理医疗纠纷
题目：组织基本要素中的有形要素是    正确答案：职位
题目：领导激励的切入点应放在人们的    正确答案：基本需要和高层次需要上
题目：在护理质量控制中不属于护理管理控制关键点的是    正确答案：资深护士
题目：该指标的核心意义是    正确答案：降低约束率，提升人文护理质量
题目：管理者公平合理地分配可以减少和解决矛盾体现了协调原则的是    正确答案：利益一致
题目：领导者给予每个成员高度的自主权只对下属提出工作目标但对下属完成任务的各个阶段的活动不加于涉除非下属要求不做主动的指导这种领导作风属于    正确答案：自由放任型
题目：责任护士的定义是    正确答案：直接护理住院患者的执业护士
题目：在护理质量控制过程中全院成立护理部科护士长病房护士长三级质量控制体系院级护理质量控制组对全院各项护理质量指标进行长期定期监控并比较其变化趋势体现了    正确答案：控制趋势原则
题目：入院当日24点前出院的患者护理级别按统计    正确答案：最高护理级别
题目：善于把握激励时机尽量做到雪中送炭解释的激励原则是    正确答案：合理性原则
题目：住院患者跌倒发生率07的计算公式中分母是    正确答案：住院患者实际占用床日数
题目：防止和克服激励效应弱化的措施是    正确答案：加强激励的科学性
题目：人本原理的前提是    正确答案：人不是单纯的“经济人”，而是复杂的“社会人”
题目：护理质量评价标准遵循的模式是    正确答案：结构-过程-结果
题目：以下哪类人员应纳入责任护士统计范围    正确答案：直接护理患者的"帮班"护士
题目：护理管理的发展趋势之一是    正确答案：管理思想的现代化
题目：护理质量持续改进的特点不包括    正确答案：短期性
题目：跌倒发生率的计算单位是    正确答案：千分比（‰）
题目：下列属于职能型组织结构缺点的是    正确答案：不利于组织的集中领导和统一指挥
题目：下列不属于精神动力的是    正确答案：指令
题目：与确定组织发展方向和长远目标有关的重大问题的决策称为    正确答案：战略决策
题目：能让下属产生敬爱感的领导者影响力构成因素是    正确答案：品格因素
题目：属于过程控制的是    正确答案：检查护理人员在操作中是否执行查对制度
